sample,total.transformations,num.of.formulas,normalized.trans
S19S_0024_Sed_Field_ICR.U_p15.corems,3017,328,9.198170732
S19S_0025_Sed_Field_ICR.D_p2.corems,29615,1281,23.1186573
S19S_0025_Sed_Field_ICR.M_p1.corems,38395,1628,23.58415233
S19S_0025_Sed_Field_ICR.U_p2.corems,26270,1245,21.10040161
S19S_0026_Sed_Field_ICR.M_p2.corems,39055,1569,24.89165073
S19S_0026_Sed_Field_ICR.U_p2.corems,33018,1413,23.36730361
S19S_0027_Sed_Field_ICR.D_p2.corems,27358,1461,18.72553046
S19S_0027_Sed_Field_ICR.M_p2.corems,30792,1488,20.69354839
S19S_0027_Sed_Field_ICR.U_p2.corems,24497,1308,18.72859327
S19S_0028_Sed_Field_ICR.D_p2.corems,17698,990,17.87676768
S19S_0028_Sed_Field_ICR.M_p1.corems,9268,538,17.2267658
S19S_0028_Sed_Field_ICR.U_p1.corems,13537,740,18.29324324
S19S_0029_Sed_Field_ICR.D_p2.corems,33740,1372,24.59183673
S19S_0029_Sed_Field_ICR.M_p2.corems,35590,1400,25.42142857
S19S_0029_Sed_Field_ICR.U_p2.corems,33572,1426,23.542777
S19S_0030_Sed_Field_ICR.M_p15.corems,7541,596,12.65268456
S19S_0030_Sed_Field_ICR.U_p2.corems,30929,1462,21.15526676
S19S_0031_Sed_Field_ICR.D_p2.corems,26842,1232,21.78733766
S19S_0031_Sed_Field_ICR.M_p2.corems,33736,1494,22.58099063
S19S_0031_Sed_Field_ICR.U_p2.corems,28991,1322,21.92965204
S19S_0032_Sed_Field_ICR.D_p2.corems,28177,1209,23.30603805
S19S_0032_Sed_Field_ICR.M_p2.corems,38425,1616,23.77784653
S19S_0032_Sed_Field_ICR.U_p2.corems,38947,1676,23.23806683
S19S_0033_Sed_Field_ICR.D_p15.corems,5762,570,10.10877193
S19S_0033_Sed_Field_ICR.M_p15.corems,24110,1457,16.54770075
S19S_0033_Sed_Field_ICR.U_p15.corems,16062,1201,13.37385512
S19S_0034_Sed_Field_ICR.D_p2.corems,40636,1598,25.42928661
S19S_0034_Sed_Field_ICR.M_p2.corems,15558,904,17.21017699
S19S_0034_Sed_Field_ICR.U_p2.corems,28333,1270,22.30944882
S19S_0035_Sed_Field_ICR.D_p2.corems,18594,885,21.01016949
S19S_0035_Sed_Field_ICR.M_p1.corems,62967,2368,26.59079392
S19S_0035_Sed_Field_ICR.U_p2.corems,29924,1376,21.74709302
S19S_0036_Sed_Field_ICR.D_p1.corems,12383,737,16.80189959
S19S_0036_Sed_Field_ICR.M_p2.corems,28122,1314,21.40182648
S19S_0036_Sed_Field_ICR.U_p2.corems,20065,1060,18.92924528
S19S_0037_Sed_Field_ICR.D_p15.corems,17379,1210,14.36280992
S19S_0037_Sed_Field_ICR.M_p15.corems,1132,243,4.658436214
S19S_0037_Sed_Field_ICR.U_p2.corems,26097,1256,20.77786624
S19S_0038_Sed_Field_ICR.D_p2.corems,27091,1295,20.91969112
S19S_0038_Sed_Field_ICR.M_p2.corems,22037,1203,18.31837074
S19S_0038_Sed_Field_ICR.U_p15.corems,27590,1547,17.83451842
S19S_0039_Sed_Field_ICR.D_p2.corems,38305,1521,25.18408941
S19S_0039_Sed_Field_ICR.M_p1.corems,45286,1758,25.75995449
S19S_0039_Sed_Field_ICR.U_p2.corems,35387,1478,23.94248985
S19S_0040_Sed_Field_ICR.M_p15.corems,16284,931,17.49087003
S19S_0040_Sed_Field_ICR.U_p2.corems,37427,1489,25.13566152
S19S_0041_Sed_Field_ICR.D_p2.corems,34520,1429,24.15675297
S19S_0041_Sed_Field_ICR.M_p2.corems,22998,1143,20.12073491
S19S_0041_Sed_Field_ICR.U_p2.corems,34868,1438,24.24756606
S19S_0042_Sed_Field_ICR.D_p2.corems,42220,1633,25.85425597
S19S_0042_Sed_Field_ICR.M_p2.corems,36265,1474,24.60312076
S19S_0042_Sed_Field_ICR.U_p2.corems,43441,1675,25.93492537
S19S_0043_Sed_Field_ICR.D_p2.corems,37049,1387,26.71160779
S19S_0043_Sed_Field_ICR.M_p2.corems,42446,1705,24.89501466
S19S_0043_Sed_Field_ICR.U_p2.corems,53664,1917,27.99374022
S19S_0044_Sed_Field_ICR.D_p2.corems,32396,1318,24.57966616
S19S_0044_Sed_Field_ICR.M_p15.corems,59159,2129,27.78722405
S19S_0044_Sed_Field_ICR.U_p2.corems,44985,1610,27.94099379
S19S_0045_Sed_Field_ICR.D_p1.corems,32542,1436,22.66155989
S19S_0045_Sed.Field_ICR.M_p2.corems,759,440,1.725
S19S_0045_Sed.Field_ICR.U_p2.corems,14587,850,17.16117647
S19S_0046_Sed_Field_ICR.D_p1.corems,15823,1054,15.01233397
S19S_0046_Sed_Field_ICR.M_p1.corems,5849,456,12.82675439
S19S_0046_Sed_Field_ICR.U_p1.corems,15645,1004,15.58266932
S19S_0047_Sed_Field_ICR.D_p15.corems,23516,1075,21.87534884
S19S_0047_Sed_Field_ICR.M_p15.corems,265,139,1.90647482
S19S_0047_Sed_Field_ICR.U_p15.corems,3291,376,8.752659574
S19S_0049_Sed_Field_ICR.D_p2.corems,17353,1142,15.19527145
S19S_0049_Sed_Field_ICR.M_p2.corems,18275,1023,17.86412512
S19S_0049_Sed_Field_ICR.U_p2.corems,24359,1268,19.21056782
S19S_0050_Sed_Field_ICR.D_p15.corems,19795,1057,18.72753075
S19S_0050_Sed_Field_ICR.M_p15.corems,20088,1066,18.84427767
S19S_0050_Sed_Field_ICR.U_p15.corems,44990,1868,24.08458244
S19S_0051_Sed_Field_ICR.D_p15.corems,54,115,0.469565217
S19S_0051_Sed_Field_ICR.M_p15.corems,20040,977,20.51177073
S19S_0051_Sed_Field_ICR.U_p15.corems,14660,816,17.96568627
S19S_0052_Sed_Field_ICR.D_p2.corems,21961,1059,20.7374882
S19S_0052_Sed_Field_ICR.M_p2.corems,25522,1203,21.2152951
S19S_0052_Sed_Field_ICR.U_p2.corems,29937,1389,21.55291577
S19S_0053_Sed_Field_ICR.D_p2.corems,38085,1505,25.30564784
S19S_0053_Sed_Field_ICR.M_p2.corems,33170,1388,23.89769452
S19S_0053_Sed_Field_ICR.U_p2.corems,40258,1612,24.97394541
S19S_0054_Sed_Field_ICR.D_p2.corems,41679,1591,26.19673162
S19S_0054_Sed_Field_ICR.M_p2.corems,40211,1534,26.21316819
S19S_0054_Sed_Field_ICR.U_p2.corems,41257,1538,26.82509753
S19S_0055_Sed_Field_ICR.D_p2.corems,26465,1247,21.22293504
S19S_0055_Sed_Field_ICR.M_p2.corems,26184,1137,23.02902375
S19S_0055_Sed_Field_ICR.U_p2.corems,21338,1007,21.18967229
S19S_0056_Sed_Field_ICR.D_p2.corems,41258,1573,26.22886205
S19S_0056_Sed_Field_ICR.M_p2.corems,41254,1695,24.33864307
S19S_0056_Sed_Field_ICR.U_p2.corems,49314,1996,24.70641283
S19S_0057_Sed_Field_ICR.D_p2.corems,36527,1507,24.23822163
S19S_0057_Sed_Field_ICR.M_p2.corems,30866,1349,22.88065234
S19S_0057_Sed_Field_ICR.U_p2.corems,26299,1253,20.98882682
S19S_0058_Sed_Field_ICR.D_p2.corems,36192,1507,24.01592568
S19S_0058_Sed_Field_ICR.U_p2.corems,45041,1802,24.99500555
S19S_0059_Sed_Field_ICR.D_p15.corems,9045,575,15.73043478
S19S_0059_Sed_Field_ICR.M_p15.corems,24553,1157,21.22126188
S19S_0059_Sed_Field_ICR.U_p15.corems,2105,346,6.083815029
S19S_0060_Sed_Field_ICR.D_p2.corems,23828,1139,20.92010536
S19S_0060_Sed_Field_ICR.M_p2.corems,25078,1305,19.21685824
S19S_0060_Sed_Field_ICR.U_p2.corems,26128,1348,19.38278932
S19S_0061_Sed_Field_ICR.D_p2.corems,40341,1578,25.56463878
S19S_0061_Sed_Field_ICR.M_p2.corems,45003,1655,27.19214502
S19S_0061_Sed_Field_ICR.U_p15.corems,3000,310,9.677419355
S19S_0062_Sed_Field_ICR.D_p15.corems,42320,1891,22.37969328
S19S_0062_Sed_Field_ICR.M_p15.corems,33924,1607,21.11014312
S19S_0062_Sed_Field_ICR.U_p15.corems,49207,2196,22.4075592
S19S_0063_Sed_Field_ICR.D_p15.corems,9078,690,13.15652174
S19S_0063_Sed_Field_ICR.M_p2.corems,32341,1477,21.89641165
S19S_0063_Sed_Field_ICR.U_p2.corems,23010,1214,18.9538715
S19S_0064_Sed_Field_ICR.D_p2.corems,33498,1355,24.72177122
S19S_0064_Sed_Field_ICR.M_p2.corems,37807,1493,25.32283992
S19S_0064_Sed_Field_ICR.U_p15.corems,12842,773,16.61319534
S19S_0065_Sed_Field_ICR.D_p2.corems,44167,1749,25.25271584
S19S_0065_Sed_Field_ICR.M_p2.corems,33859,1514,22.36393659
S19S_0065_Sed_Field_ICR.U_p2.corems,32365,1526,21.20904325
S19S_0066_Sed_Field_ICR.D_p2.corems,39954,1638,24.39194139
S19S_0066_Sed_Field_ICR.M_p2.corems,36752,1443,25.46916147
S19S_0066_Sed_Field_ICR.U_p2.corems,44871,1607,27.92221531
S19S_0067_Sed_Field_ICR.D_p2.corems,27543,1105,24.92579186
S19S_0067_Sed_Field_ICR.M_p2.corems,37464,1456,25.73076923
S19S_0067_Sed_Field_ICR.U_p2.corems,22017,987,22.30699088
S19S_0068_Sed_Field_ICR.M_p2.corems,40107,1893,21.18700475
S19S_0068_Sed_Field_ICR.U_p2.corems,25075,1216,20.62088816
S19S_0069_Sed_Field_ICR.D_p2.corems,34200,1580,21.64556962
S19S_0069_Sed_Field_ICR.M_p2.corems,37102,1718,21.59604191
S19S_0069_Sed_Field_ICR.U_p2.corems,33445,1729,19.34355119
S19S_0070_Sed_Field_ICR.D_p2.corems,34780,1607,21.64281269
S19S_0070_Sed_Field_ICR.M_p2.corems,34891,1522,22.92444152
S19S_0070_Sed_Field_ICR.U_p2.corems,41622,1769,23.5285472
S19S_0071_Sed_Field_ICR.D_p2.corems,34721,1415,24.53780919
S19S_0071_Sed_Field_ICR.M_p2.corems,34191,1317,25.96127563
S19S_0071_Sed_Field_ICR.U_p2.corems,27179,1186,22.91652614
S19S_0072_Sed_Field_ICR.D_p2.corems,39292,1550,25.34967742
S19S_0072_Sed_Field_ICR.M_p2.corems,33536,1425,23.53403509
S19S_0072_Sed_Field_ICR.U_p2.corems,44371,1665,26.64924925
S19S_0073_Sed_Field_ICR.D_p2.corems,42458,1552,27.35695876
S19S_0073_Sed_Field_ICR.M_p2.corems,41527,1523,27.26657912
S19S_0073_Sed_Field_ICR.U_p2.corems,39935,1477,27.03791469
S19S_0074_Sed_Field_ICR.D_p2.corems,19873,1007,19.73485601
S19S_0074_Sed_Field_ICR.M_p2.corems,28117,1262,22.27971474
S19S_0074_Sed_Field_ICR.U_p2.corems,29389,1321,22.24753974
S19S_0075_Sed_Field_ICR.D_p2.corems,18701,1081,17.29972248
S19S_0075_Sed_Field_ICR.M_p2.corems,23617,1249,18.90872698
S19S_0075_Sed_Field_ICR.U_p2.corems,21678,1145,18.93275109
S19S_0076_Sed_Field_ICR.D_p2.corems,20684,1054,19.62428843
S19S_0076_Sed_Field_ICR.M_p1.corems,22940,1071,21.41923436
S19S_0076_Sed_Field_ICR.U_p1.corems,35470,1516,23.39709763
S19S_0077_Sed_Field_ICR.D_p2.corems,22594,1127,20.04791482
S19S_0077_Sed_Field_ICR.M_p2.corems,31313,1471,21.28687967
S19S_0077_Sed_Field_ICR.U_p2.corems,29251,1366,21.4136164
S19S_0078_Sed_Field_ICR.D_p2.corems,35880,1503,23.87225549
S19S_0078_Sed_Field_ICR.M_p2.corems,27343,1141,23.96406661
S19S_0078_Sed_Field_ICR.U_p2.corems,38066,1521,25.02695595
S19S_0079_Sed_Field_ICR.D_p2.corems,17675,984,17.96239837
S19S_0079_Sed_Field_ICR.M_p2.corems,22103,1076,20.54182156
S19S_0079_Sed_Field_ICR.U_p2.corems,17699,950,18.63052632
S19S_0080_Sed_Field_ICR.D_p2.corems,43447,1724,25.2012761
S19S_0080_Sed_Field_ICR.M_p2.corems,29704,1334,22.26686657
S19S_0080_Sed_Field_ICR.U_p2.corems,28227,1208,23.36672185
S19S_0081_Sed_Field_ICR.M_p2.corems,34871,1479,23.57741717
S19S_0081_Sed_Field_ICR.U_p2.corems,22402,1015,22.07093596
S19S_0082_Sed_Field_ICR.D_p2.corems,40468,1626,24.88806888
S19S_0082_Sed_Field_ICR.M_p2.corems,45533,1789,25.45164897
S19S_0082_Sed_Field_ICR.U_p2.corems,29505,1263,23.36104513
S19S_0083_Sed_Field_ICR.D_p2.corems,29090,1334,21.8065967
S19S_0083_Sed_Field_ICR.M_p2.corems,33947,1384,24.52817919
S19S_0083_Sed_Field_ICR.U_p2.corems,33455,1261,26.53053132
S19S_0084_Sed_Field_ICR.D_p2.corems,34613,1548,22.35981912
S19S_0084_Sed_Field_ICR.M_p2.corems,26744,1233,21.69018654
S19S_0084_Sed_Field_ICR.U_p2.corems,35315,1618,21.8263288
S19S_0085_Sed_Field_ICR.D_p15.corems,15558,888,17.52027027
S19S_0085_Sed_Field_ICR.M_p15.corems,22786,1203,18.94098088
S19S_0085_Sed_Field_ICR.U_p15.corems,6067,511,11.87279843
S19S_0086_Sed_Field_ICR.D_p2.corems,27332,1323,20.65910809
S19S_0086_Sed_Field_ICR.M_p2.corems,30602,1451,21.09028256
S19S_0086_Sed_Field_ICR.U_p2.corems,34940,1455,24.0137457
S19S_0087_Sed_Field_ICR.D_p15.corems,378,223,1.695067265
S19S_0087_Sed_Field_ICR.M_p15.corems,345,181,1.906077348
S19S_0087_Sed_Field_ICR.U_p15.corems,8147,608,13.39967105
S19S_0089_Sed_Field_ICR.D_p2.corems,25118,1140,22.03333333
S19S_0089_Sed_Field_ICR.M_p2.corems,28897,1194,24.20184255
S19S_0089_Sed_Field_ICR.U_p2.corems,28396,1259,22.55440826
S19S_0090_Sed_Field_ICR.D_p2.corems,35002,1392,25.14511494
S19S_0090_Sed_Field_ICR.M_p2.corems,36402,1504,24.20345745
S19S_0090_Sed_Field_ICR.U_p2.corems,41716,1679,24.84574151
S19S_0091_Sed_Field_ICR.D_p2.corems,26690,1387,19.24297044
S19S_0091_Sed_Field_ICR.M_p2.corems,22443,1260,17.81190476
S19S_0091_Sed_Field_ICR.U_p2.corems,24620,1282,19.20436817
S19S_0092_Sed_Field_ICR.D_p2.corems,30191,1355,22.28118081
S19S_0092_Sed_Field_ICR.M_p1.corems,13967,751,18.59786951
S19S_0092_Sed_Field_ICR.U_p2.corems,34871,1487,23.45057162
S19S_0093_Sed_Field_ICR.D_p15.corems,44822,1943,23.06845085
S19S_0093_Sed_Field_ICR.M_p15.corems,3198,405,7.896296296
S19S_0093_Sed_Field_ICR.U_p15.corems,6479,572,11.32692308
S19S_0094_Sed_Field_ICR.D_p15.corems,17527,1067,16.42642924
S19S_0094_Sed_Field_ICR.M_p15.corems,14707,940,15.64574468
S19S_0094_Sed_Field_ICR.U_p15.corems,36773,1732,21.23152425
S19S_0096_Sed_Field_ICR.D_p15.corems,19667,1271,15.4736428
S19S_0096_Sed_Field_ICR.M_p2.corems,17531,952,18.41491597
S19S_0096_Sed_Field_ICR.U_p15.corems,2873,345,8.327536232
S19S_0097_Sed_Field_ICR.D_p2.corems,24166,1190,20.30756303
S19S_0097_Sed_Field_ICR.M_p15.corems,19076,1119,17.04736372
S19S_0097_Sed_Field_ICR.U_p2.corems,29020,1329,21.83596689
S19S_0098_Sed_Field_ICR.D_p2.corems,13581,741,18.32793522
S19S_0098_Sed_Field_ICR.M_p2.corems,21245,1039,20.44754572
S19S_0098_Sed_Field_ICR.U_p2.corems,25282,1142,22.13835377
S19S_0099_Sed_Field_ICR.D_p2.corems,24085,1332,18.08183183
S19S_0099_Sed_Field_ICR.M_p2.corems,26476,1241,21.33440774
S19S_0099_Sed_Field_ICR.U_p2.corems,26050,1260,20.67460317
S19S_0100_Sed_Field_ICR.D_p2.corems,36152,1456,24.82967033
S19S_0100_Sed_Field_ICR.M_p2.corems,32400,1412,22.94617564
S19S_0100_Sed_Field_ICR.U_p2.corems,42968,1693,25.37979917
SKB_masslistsESI_neg_SKB_MGC1900810_A_201907815_000001.corems,55543,4065,13.66371464
SO245_masslistsSO245.SPE002_028_01_1367.corems,121927,4226,28.8516327496451
SO245_masslistsSO245.SPE003_117_01_1234.corems,114660,3927,29.1978609625668
SO245_masslistsSO245.SPE004_008_01_1103.corems,112776,3904,28.8872950819672
SO245_masslistsSO245.SPE005_002_01_1311.corems,115608,3896,29.6735112936345
SO245_masslistsSO245.SPE006_015_01_1339.corems,110886,3758,29.5066524747206
SO245_masslistsSO245.SPE007_029_01_1369.corems,110565,3684,30.0122149837134
SO245_masslistsSO245.SPE008_045_01_1411.corems,115408,3896,29.6221765913758
SO245_masslistsSO245.SPE009_119_01_1239.corems,112507,3898,28.8627501282709
SO245_masslistsSO245.SPE010_004_01_1095.corems,116082,4091,28.3749694451234
SO245_masslistsSO245.SPE011_011_01_1331.corems,114113,3942,28.9479959411466
SO245_masslistsSO245.SPE012_110_01_1218.corems,117886,4064,29.0073818897638
SO245_masslistsSO245.SPE013_048_01_1417.corems,115487,3910,29.5363171355499
SO245_masslistsSO245.SPE014_113_01_1226.corems,116677,3902,29.9018452075859
SO245_masslistsSO245.SPE015_118_01_1459.corems,112884,3773,29.9188974291015
SO245_masslistsSO245.SPE016_013_01_1335.corems,115892,3960,29.2656565656566
SO245_masslistsSO245.SPE017_123_01_1471.corems,115296,3875,29.7538064516129
SO245_masslistsSO245.SPE019_025_01_1361.corems,99474,3374,29.4825133372851
SO245_masslistsSO245.SPE021_014_01_1337.corems,113170,3813,29.6800419617099
SO245_masslistsSO245.SPE024_012_01_1333.corems,104916,3616,29.0143805309735
SO245_masslistsSO245.SPE025_104_01_1206.corems,113353,3845,29.4806241872562
SO245_masslistsSO245.SPE026_031_01_1375.corems,117551,4049,29.0321066930106
SO245_masslistsSO245.SPE027_022_01_1135.corems,107677,3687,29.2045023053973
SO245_masslistsSO245.SPE030_035_01_1165.corems,99317,3343,29.7089440622196
SO245_masslistsSO245.SPE032_021_01_1133.corems,107326,3694,29.0541418516513
SO245_masslistsSO245.SPE033_003_01_1093.corems,110161,3818,28.8530644316396
SO245_masslistsSO245.SPE034_117_01_1457.corems,114450,3868,29.5889348500517
SO245_masslistsSO245.SPE035_007_01_1101.corems,100484,3343,30.0580317080467
SO245_masslistsSO245.SPE036_140_01_1285.corems,111018,3719,29.8515730034956
SO245_masslistsSO245.SPE037_141_01_1289.corems,111737,3803,29.3812779384696
SO245_masslistsSO245.SPE038_011_01_1111.corems,120710,4221,28.5974887467425
SO245_masslistsSO245.SPE040_029_01_1149.corems,115473,4035,28.617843866171
SO245_masslistsSO245.SPE041_139_01_1283.corems,116627,4042,28.8537852548243
SO245_masslistsSO245.SPE042_024_01_1139.corems,113070,3943,28.6761349226477
SO245_masslistsSO245.SPE043_101_01_1200.corems,114832,3958,29.0126326427489
SO245_masslistsSO245.SPE044_119_01_1461.corems,117323,3962,29.6120646138314
SO245_masslistsSO245.SPE045_010_01_1327.corems,108223,3773,28.6835409488471
SO245_masslistsSO245.SPE047_043_01_1407.corems,115382,4041,28.5528334570651
SO245_masslistsSO245.SPE048_116_01_1232.corems,114549,4081,28.0688556726293
SO245_masslistsSO245.SPE049_016_01_1341.corems,118934,4139,28.7349601352984
SO245_masslistsSO245.SPE051_132_01_1269.corems,99919,3444,29.0124854819977
SO245_masslistsSO245.SPE053_048_01_1193.corems,105283,3640,28.9239010989011
SO245_masslistsSO245.SPE054_049_01_1419.corems,115753,3875,29.8717419354839
SO245_masslistsSO245.SPE056_133_01_1271.corems,106607,3685,28.929986431479
SO245_masslistsSO245.SPE057.2_046_01_1189.corems,106939,3650,29.2983561643836
SO245_masslistsSO245.SPE058_041_01_1179.corems,118397,4197,28.2099118417918
SO245_masslistsSO245.SPE060_145_01_1297.corems,117276,4019,29.1803931326201
SO245_masslistsSO245.SPE061_008_01_1323.corems,107058,3810,28.0992125984252
SO245_masslistsSO245.SPE062_020_01_1129.corems,125151,4432,28.2380415162455
SO245_masslistsSO245.SPE064_047_01_1415.corems,106754,3703,28.829057520929
SO245_masslistsSO245.SPE065_107_01_1212.corems,101624,3497,29.0603374320846
SO245_masslistsSO245.SPE067_044_01_1185.corems,104142,3598,28.9444135630906
SO245_masslistsSO245.SPE068_038_01_1389.corems,118835,4181,28.422626165989
SO245_masslistsSO245.SPE069_043_01_1183.corems,105596,3846,27.4560582423297
SO245_masslistsSO245.SPE072_002_01_1091.corems,107667,3812,28.2442287513116
SO245_masslistsSO245.SPE074_124_01_1251.corems,107687,3742,28.777926242651
SO245_masslistsSO245.SPE075_034_01_1381.corems,108559,3800,28.5681578947368
SO245_masslistsSO245.SPE076_003_01_1313.corems,107279,3730,28.7611260053619
SO245_masslistsSO245.SPE077_044_01_1409.corems,104601,3587,29.1611374407583
SO245_masslistsSO245.SPE078_122_01_1247.corems,95302,3268,29.1621787025704
SO245_masslistsSO245.SPE079_034_01_1163.corems,113205,4046,27.9794859120119
SO245_masslistsSO245.SPE086_009_01_1325.corems,106817,3682,29.0105920695274
SO245_masslistsSO245.SPE087_120_01_1463.corems,114478,3995,28.6553191489362
SO245_masslistsSO245.SPE088_047_01_1191.corems,106905,3761,28.4246211114065
SO245_masslistsSO245.SPE089_105_01_1208.corems,121854,4236,28.7662889518414
SO245_masslistsSO245.SPE092_007_01_1321.corems,105023,3611,29.0841872057602
SO245_masslistsSO245.SPE093_001_01_1309.corems,119014,4124,28.8588748787585
SO245_masslistsSO245.SPE097_042_01_1181.corems,112624,3957,28.4619661359616
SO245_masslistsSO245.SPE098_037_01_1387.corems,112572,3969,28.3628117913832
SO245_masslistsSO245.SPE099_110_01_1441.corems,113862,3990,28.5368421052632
SO245_masslistsSO245.SPE100_021_01_1353.corems,119665,4104,29.1581384015595
